x,y,t,pol
45,345,4821746616338,False
151,324,4821746630482,False
131,349,4821746630482,False
28,305,4821746630482,False
360,565,4821746634731,False
164,344,4821746703659,True
206,358,4821746714184,True
86,322,4821746819291,False
140,382,4821747510134,True
44,413,4821972291165,True
163,395,4822159190077,True
92,356,4822301563165,False
65,290,4822328139165,False
100,419,4822447636381,False
177,195,4822517583965,True
112,158,4822581635741,True
135,351,4822597599773,False
167,332,4822693786205,False
74,379,4822702064221,True
4,512,4822865203933,False
21,305,4822906621021,True
63,138,4822971132125,True
18,354,4822997126749,False
25,243,4823018207709,True
96,399,4823162020189,False
161,359,4823259722589,True
153,310,4823301461213,False
162,276,4823327369309,True
86,355,4823719473501,False
51,390,4824078212445,False
130,248,4824169526109,True
103,369,4824169526109,True
192,317,4824169526109,True
87,359,4824329764701,False
180,379,4824383150429,True
139,348,4824417277021,False
44,345,4824417277021,False
46,318,4824417277021,False
361,561,4824417277021,False
108,325,4824417277021,False
98,324,4824691954781,False
185,324,4825011967837,True
73,437,4825130410589,False
92,315,4825456269405,True
140,393,4825485619037,True
138,278,4825569272157,False
111,387,4825624584541,False
5,515,4825780890717,False
131,354,4825794490717,False
47,318,4825842977885,False
117,385,4825877279581,True
59,397,4825916295773,True
157,313,4825916295773,True
117,316,4826018845021,False
77,393,4826062752093,False
127,359,4826111130461,True
127,254,4826170558301,False
175,176,4826296144733,True
105,397,4826298751837,False
130,308,4826384462685,True
79,395,4826387362653,False
137,356,4826387362653,False
145,386,4826387362653,False
55,378,4826490444637,False
130,397,4826490444637,False
89,263,4826490444637,False
115,219,4826674650973,True
25,271,4826701079389,True
102,324,4826703734621,True
29,368,4826716243805,True
140,342,4826837659485,True
31,349,4826846143837,False
151,352,4826932845405,True
29,238,4826974388061,True
134,313,4827160951133,True
162,339,4827369648989,True
31,390,4827528243037,True
178,297,4827828583773,True
19,261,4827864379741,False
152,332,4827995504477,False
40,190,4828113009501,False
33,430,4828113009501,False
4,318,4828193246557,True
362,562,4828217495389,False
362,561,4828217495389,True
75,391,4828217495389,True
6,514,4828217495389,True
0,513,4828217495389,True
139,355,4828217495389,True
165,303,4828217495389,True
64,383,4828279237469,True
96,353,4828389184861,True
102,394,4828400845661,True
197,330,4828409911645,True
73,438,4828417722205,True
40,343,4828417722205,True
45,345,4828417722205,False
53,387,4828417722205,True
166,302,4828417722205,True
137,343,4828417722205,True
125,345,4828417722205,True
83,389,4828417722205,True
6,512,4828417722205,True
25,237,4828469172573,False
99,404,4828481374557,True
131,298,4828533432157,True
72,438,4828605990237,False
107,313,4828755292509,False
202,375,4828876660061,False
141,245,4828920984413,False
161,425,4828938811229,True
124,273,4828949524317,True
165,304,4829146509149,False
170,264,4829312517981,False
171,306,4829401593693,False
33,390,4829428553053,False
35,387,4829546627421,True
111,234,4829999529821,True
28,348,4830091443037,True
6,515,4830101710685,True
231,308,4830110658909,True
79,394,4830360239965,True
32,338,4830360239965,True
151,323,4830360239965,True
25,392,4830360239965,True
42,315,4830473586525,False
94,381,4830512171869,False
43,346,4830512171869,False
98,405,4830512171869,False
35,305,4830662200157,False
167,302,4830775185245,False
3,514,4830775185245,False
74,227,4830788179805,True
136,273,4830853307229,True
174,342,4830918370141,True
7,513,4830918370141,True
3,513,4830918370141,False
362,559,4830918370141,False
97,396,4830918370141,False
167,303,4830918370141,False
361,563,4830918370141,True
168,303,4830918370141,False
5,512,4830918370141,True
8,511,4830918370141,False
119,315,4830918370141,False
54,378,4830918370141,True
5,511,4830918370141,False
84,403,4830954680157,False
98,393,4831151492957,True
33,229,4831180049245,True
114,417,4831224538973,True
94,384,4831486452573,True
141,348,4831548121949,True
49,406,4831601558365,True
188,365,4831638384477,False
47,335,4831638384477,False
144,351,4831638384477,False
101,396,4831638384477,False
104,369,4831713031005,False
116,560,4831734050653,False
0,477,4831734050653,False
9,474,4831734050653,False
24,434,4831734050653,False
0,299,4831772853085,True
125,225,4831866395485,True
114,371,4831887098717,False
4,512,4832036964189,False
166,388,4832183498589,False
86,359,4832207133533,True
31,348,4832300273501,False
117,316,4832349932381,False
35,239,4832386092893,True
5,515,4832451996509,False
47,380,4832463172445,False
3,512,4832470443869,True
177,320,4832470443869,True
153,387,4832501183325,True
155,316,4832542922589,True
173,262,4832567245661,True
31,346,4832635872093,False
83,359,4832643990365,True
37,347,4832708851549,True
142,324,4832709101405,True
129,396,4832709101405,True
36,398,4832709101405,True
91,354,4832709101405,True
2,401,4832709101405,True
37,287,4832709101405,True
117,221,4832749524829,True
91,316,4832782258013,True
168,388,4832900162397,True
30,327,4832933966685,True
162,339,4832992686941,True
140,373,4833179711325,False
8,510,4833225712477,True
7,512,4833225712477,True
31,390,4833309875037,True
54,323,4833394207581,False
113,346,4833424789341,True
87,359,4833501523805,False
31,349,4833517249373,False
143,412,4833530664797,True
128,310,4833559201629,True
98,374,4833559221085,False
93,387,4833559221085,False
169,302,4833559221085,False
92,378,4833559221085,False
78,394,4833580907357,True
88,257,4833580907357,True
99,406,4833589036893,False
78,388,4833589036893,False
53,378,4833589036893,False
44,345,4833589036893,False
164,303,4833589036893,False
6,510,4833589036893,False
41,345,4833589036893,False
2,512,4833589036893,False
361,561,4833589036893,False
5,514,4833589036893,False
46,318,4833589036893,False
108,325,4833589036893,False
139,348,4833589036893,False
45,351,4833655884637,True
158,340,4833655884637,True
152,332,4833672989533,False
154,274,4833715657565,True
362,563,4833770904413,False
183,373,4833805589341,False
104,263,4833817027421,False
50,386,4833834198877,True
138,355,4833899181917,False
123,327,4834009258845,True
78,408,4834050477917,True
167,291,4834084138845,False
31,405,4834166333277,False
176,162,4834245038941,True
100,307,4834430471005,True
165,289,4834618821469,False
362,562,4834688374621,False
6,514,4834688379741,True
75,391,4834688379741,True
165,303,4834688379741,True
139,355,4834688379741,True
0,513,4834688379741,True
362,561,4834688379741,True
171,306,4834743101277,False
64,383,4834750121821,True
99,416,4834848231261,True
719,287,4834908898141,True
53,390,4834974429021,False
97,390,4834992459613,True
34,308,4835013850973,False
136,355,4835029018461,True
45,345,4835088828253,False
40,343,4835088833373,True
53,387,4835088833373,True
83,389,4835088833373,True
125,345,4835088833373,True
6,512,4835088833373,True
166,302,4835088833373,True
137,343,4835088833373,True
73,438,4835088833373,True
129,398,4835137406813,True
136,357,4835137406813,True
99,404,4835152486237,True
202,375,4835207747421,False
77,393,4835234510685,False
149,266,4835257418589,False
121,277,4835303726941,False
27,348,4835358293853,True
27,395,4835411802973,True
165,304,4835477597021,False
41,354,4835500657501,False
180,427,4835540503389,False
79,391,4835540503389,False
145,386,4835559121757,False
79,395,4835559121757,False
137,356,4835559121757,False
121,279,4835628792669,False
130,397,4835662203741,False
55,378,4835662203741,False
89,263,4835662203741,False
96,400,4835770261341,False
56,377,4835770261341,False
88,321,4835770261341,False
170,264,4835783397213,False
32,339,4835826320221,False
30,299,4836038298461,True
118,570,4836048654173,False
123,544,4836048654173,False
78,597,4836048654173,False
74,580,4836048654173,False
41,286,4836062784349,False
71,435,4836066542429,True
18,345,4836127296349,False
35,387,4836217739101,True
91,168,4836314423133,True
157,173,4836422157149,True
49,320,4836444790621,False
134,350,4836454838109,False
97,313,4836481190749,False
103,391,4836481190749,False
176,278,4836502710109,False
35,324,4836543331165,False
133,338,4836543331165,False
126,308,4836543350621,False
132,316,4836543350621,False
6,515,4836572595037,True
154,300,4836576097117,False
169,342,4836614929245,False
125,337,4836697013085,True
28,348,4836762554205,True
42,315,4836804673373,False
50,387,4836894028637,False
82,334,4836992580445,False
26,393,4837009458013,True
146,307,4837009458013,True
151,323,4837031351133,True
32,338,4837031351133,True
79,394,4837031351133,True
25,392,4837031351133,True
76,348,4837052832605,True
139,420,4837088413533,True
164,314,4837095617373,True
98,405,4837183276893,False
94,381,4837183276893,False
43,346,4837183276893,False
128,439,4837218244445,True
167,302,4837246063453,False
3,514,4837246063453,False
361,562,4837322219357,True
2,513,4837322219357,True
3,515,4837322219357,True
7,510,4837322219357,True
3,511,4837322219357,True
14,394,4837361122141,True
59,389,4837422106461,False
96,376,4837422106461,False
7,280,4837621972829,False
100,396,4837697978205,True
72,438,4837777749853,False
94,74,4837933545309,False
146,385,4838016962397,True
135,347,4838016962397,True
99,405,4838016962397,True
4,511,4838016962397,True
49,406,4838072442717,True
92,423,4838147673949,False
94,384,4838157563741,True
155,383,4838304727901,True
101,396,4838309489501,False
47,335,4838309489501,False
188,365,4838309489501,False
144,351,4838309489501,False
7,473,4838360768349,True
110,510,4838360768349,True
133,282,4838373487453,True
65,395,4838406899549,True
93,365,4838541759325,False
136,341,4838541759325,False
93,384,4838541759325,False
49,314,4838607408989,False
23,386,4838607408989,False
162,339,4838615724893,True
153,309,4838618967901,True
83,406,4838658050909,False
173,347,4838658050909,False
117,316,4838681019229,False
363,556,4838766919517,False
182,356,4838855407453,False
33,72,4838887453533,True
181,406,4838900696925,True
160,288,4838931284829,True
91,316,4838963997533,True
153,387,4838972066653,True
26,344,4839012723549,True
130,365,4839012723549,True
40,340,4839089900381,True
171,321,4839089900381,True
135,341,4839089900381,True
124,307,4839089900381,True
77,390,4839089900381,True
153,381,4839089900381,True
31,390,4839091506013,True
5,515,4839123102557,False
96,395,4839323362141,True
152,332,4839350475613,False
188,372,4839418850141,False
47,379,4839422798685,False
70,363,4839482381149,True
58,323,4839673660253,False
8,510,4839696597853,True
7,512,4839696597853,True
98,336,4840028371805,False
133,202,4840057035613,True
171,306,4840084607837,False
5,511,4840090129245,False
167,303,4840090129245,False
54,378,4840090129245,True
5,512,4840090129245,True
362,559,4840090129245,False
119,315,4840090129245,False
3,513,4840090129245,False
174,342,4840090129245,True
7,513,4840090129245,True
8,511,4840090129245,False
168,303,4840090129245,False
361,563,4840090129245,True
97,396,4840090129245,False
118,317,4840159542109,False
154,274,4840186542941,True
31,349,4840188357469,False
362,563,4840241783645,False
88,257,4840252019549,True
78,394,4840252019549,True
158,340,4840326994781,True
45,351,4840326994781,True
88,386,4840346264413,False
3,372,4840363375453,False
138,355,4840370060125,False
171,346,4840426681181,True
74,391,4840450435933,False
42,348,4840450435933,False
140,354,4840450435933,False
141,283,4840465316701,False
153,176,4840638505821,True
175,406,4840683897693,False
135,343,4840708819805,True
41,342,4840708819805,True
129,319,4840708819805,False
158,341,4840708819805,True
125,307,4840708819805,False
101,416,4840708819805,False
87,320,4840708819805,True
48,384,4840708819805,True
131,336,4840708819805,True
132,317,4840708819805,True
129,312,4840708819805,True
116,317,4840708819805,True
44,425,4840708819805,False
126,309,4840708834141,False
92,425,4840708834141,False
80,387,4840708834141,False
189,321,4840794655581,True
39,341,4840794655581,True
42,293,4840794655581,True
138,356,4840794655581,True
83,391,4840794655581,True
107,323,4840794659677,True
111,429,4840858233693,True
128,255,4840882781021,False
130,312,4840921936733,False
